"CATEGORIE","REGION","TAUXRETOUR"
"Food - Snacks","Xindong",1
"Food - Snacks","Yuanlin",2
"Food - Snacks","Yuewan",1
"Food - Soups","Jiucaizhuang",1
"Food - Soups","Tuohua",2
"Food - Spices","Carpina",3
"Food - Spices","Jakubowice Murowane",6
"Food - Supplements","Åby",8
"Food - Vegetables","Bakar",40
"Food - Vegetables","Baqiao",40
"Food - Vegetables","Cazin",1
"Food - Vegetables","Chok Chai",2
"Food - Vegetables","Dazu",40
"Food - Vegetables","Nukuoro",2
"Food - Vegetables","Sankera",40
"Food - Vegetables","Suresnes",40
"Food - Vegetables","Uji",1
"Footwear","Camplong",1
"Footwear","Honghe",1
"Footwear","Khadan Khāk",1
"Footwear","Martensville",1
"Gaming","Huangqi",5
"Gaming","San Gregorio",5
"Gaming","Satsumasendai",5
"Gaming","Stockholm",5
"Garden","Atalaia",6
"Garden","Baishi",9
"Garden","Gaoping",2
"Garden","Gongji",1
"Garden","Gustavsberg",2
"Garden","Horní Jelení",3
"Garden","Laurel",1
"Garden","Madamba",2
"Garden","Melati",7
"Garden","Müllendorf",2
"Garden","Phú Thái",2
"Garden","Pore",6
"Garden","Sanom",1
"Garden","Suzuka",0
"Garden","Tamandaré",3
"Garden","Varberg",0
"Garden","Verona",7
"Garden","Vodňany",1
"Health","Aemura",1
"Health","Burujul",1
"Health","Cazin",6
"Health","El Paraiso",2
"Health","Golopau",2
"Health","Hengxizhen",2
"Health","Igreja",7
"Health","Leipzig",2
"Health","Longfengshan",2
"Health","Magdalena",2
"Health","Pontevedra",3
"Health","Prokhladnyy",2
"Health","Pudoc",3
"Health","Pushkino",2
"Health","Sanjiang",7
"Health","Santander",1
"Health","Santiago De Compostela",1
"Health","Sarāb",3
"Health","Sekongkang Bawah",2
"Health","Thul",2
"Health","Yingcheng",5
"Home","Ad Dasmah",0
"Home","Agidel’",7
"Home","Al Jawādīyah",184
"Home","Alavieska",2
"Home","Anaráchi",0
"Home","Blantyre",2
"Home","Boguchar",12
"Home","Bolgar",61
"Home","Burujul",3
"Home","Caraga",3
"Home","Cereté",1
"Home","Criciúma",4
"Home","Dianfang",10
"Home","Dnestrovsc",3
"Home","Doblas",1
"Home","Dogonbadan",0
"Home","El Progreso",3
"Home","Feteira Pequena",19
"Home","Gombangan",1
"Home","Guangming",1
"Home","Hartford",2
"Home","Henggang",3
"Home","Hengshi",4

927 lignes sélectionnées. 

