"NOMPROD","CATEGORIE","MARQUE","PRIX"
"Fitness Tracker Band","Fitness","NYSE",40
"Herb Seasoned Rice","Food - Sides","NASDAQ",85
"Smartphone UV Sanitizer","Health","NYSE",72
"Peanut Butter Chocolate Chip Bars","Food - Snacks","NYSE",75
"Over-The-Door Shoe Organizer","Home","NYSE",82
"Ice Cube Tray with Lid","Kitchen","NASDAQ",52
"Cranberry Almond Granola","Food - Breakfast","NYSE",5
"Hiking Water Bottle with Filter","Outdoor","NASDAQ",64
"Adjustable Stand for Tablets and Smartphones","Electronics","NASDAQ",8
"Pasta (Linguine)","Food - Pasta","NYSE",53
"Garlic Herb Cream Cheese","Food - Dairy","NYSE",85
"Sparkling Blood Orange Soda","Food - Beverages","NYSE",73
"Travel Orthopedic Pillow","Travel","NYSE",65
"Belted Trench Coat","Clothing - Outerwear","NASDAQ",18
"Portable Ice Maker","Kitchen","NYSE",80
"Animal Paw Print Soap Dispenser","Home","NYSE",45
"Maple Almond Butter","Food - Nut Butters","NYSE",97
"Portable Solar Phone Charger","Electronics","NYSE",81
"Himalayan Pink Salt","Food - Condiments","NASDAQ",57
"Sliced Avocado","Food - Produce","NASDAQ",98
"Elderberry Syrup Kit","Health","NYSE",9
"Children's Educational Workbook","Books","NYSE",97
"Graphic Hoodie","Clothing - Outerwear","NYSE",11
"Pesto Pasta Salad","Food - Prepared Foods","NYSE",75
"Almond Butter Cookies","Food - Snacks","NYSE",60
"Buffalo Cauliflower Bites","Food - Freezer","NASDAQ",94
"Honey Roasted Peanuts","Food - Snacks","NASDAQ",78
"Coconut Almond Granola","Food - Breakfast","NYSE",11
"Grapes (red)","Food - Produce","NYSE",18
"Cinnamon Sugar Popcorn","Food - Snacks","NASDAQ",91
"Classic Bagels","Food - Bakery","NASDAQ",83
"Surimi Crab Sticks","Food - Seafood","NASDAQ",42
"Electric Air Pump","Outdoor","NYSE",24
"Slim Fit Chinos","Clothing - Pants","NYSE",52
"Breathable Face Mask Set","Health","NYSE",50
"Organic Ramen Noodles","Food - Pasta","NYSE",75
"Dark Chocolate Bars","Food - Snacks","NASDAQ",46
"Organic Brown Sugar","Food - Baking","NYSE",49
"Chickpeas","Food - Canned Goods","NYSE",52
"Breathable Face Mask Set","Health","NASDAQ",10
"Herbed Mushroom Risotto","Food - Prepared Foods","NASDAQ",52
"Pest Control Traps","Home","NASDAQ",45
"Pet Hair Removal Roller","Pets","NASDAQ",83
"Bamboo Toothbrush","Health","NYSE",97
"Sports Bottle","Fitness","NASDAQ",82
"Creamy Coleslaw Mix","Food - Produce","NASDAQ",30
"Sporty Cap","Clothing - Accessories","NASDAQ",93
"Hot Dog Buns","Food - Bakery","NYSE",46
"Snap-On Tupperware Set","Kitchen","NYSE",33
"Kitchen Knife Sharpening System","Kitchen","NYSE",2
"Asian Stir-Fry Kit","Food - Frozen Meals","NASDAQ",66
"Wireless Smart Plug","Smart Home","NYSE",23
"Digital Drawing Tablet","Art Supplies","NASDAQ",70
"Dog Training Collar","Pets","NYSE",88
"Herb Garlic Butter","Food - Condiments","NYSE",24
"Soft Plush Throw Blanket","Home","NASDAQ",11
"Almond Flour Brownies","Food - Baking","NASDAQ",80
"Fitness Jump Rope with LCD Counter","Fitness","NYSE",37
"Comfy Slippers","Footwear","NYSE",69
"Bluetooth Sleep Headphones","Audio","NYSE",21
"Eco-Friendly Cleaning Cloths","Home","NASDAQ",55
"Peanut Butter Banana Smoothie","Food - Beverages","NYSE",18
"Granulated Sugar","Food - Baking","NASDAQ",91
"Non-Stick Baking Sheets","Kitchen","NASDAQ",8
"Almond Milk","Food - Dairy","NYSE",54
"Floral Wrap Top","Clothing - Tops","NYSE",11
"Portable Speaker Stand","Audio","NYSE",49
"Cranberry Orange Juice","Food - Beverages","NYSE",34
"Deep Tissue Massage Gun","Health","NYSE",71
"Honey Mustard Dip","Food - Condiments","NYSE",74
"Almond Butter","Food - Condiments","NASDAQ",85
"Creamy Tomato Basil Soup","Food - Canned Goods","NYSE",53
"Peanut Butter Protein Balls","Food - Snacks","NASDAQ",40
"Buffalo Chicken Dip","Food - Dips","NASDAQ",88
"Outdoor Sports Backpack","Outdoor","NYSE",57
"LED Flashlight","Outdoor","NASDAQ",21
"Sooji (Semolina)","Food - Baking","NASDAQ",84
"Computer Monitor Stand","Office","NYSE",82
"Insulated Lunch Bag","Kitchen","NASDAQ",18
"Garden Hose Reel","Garden","NASDAQ",22
"Dishwasher Safe Cutting Board","Kitchen","NASDAQ",87
"Brazil Nuts","Food - Nuts","NYSE",8
"Biodegradable Dog Waste Bags","Pets","NYSE",14
"Pumpkin Pie Spice","Food - Baking","NYSE",79
"Peanut Butter Granola","Food - Breakfast","NYSE",6
"Pepperoni Pizza Roll-Ups","Food - Frozen Foods","NYSE",63
"Sweet Potatoes","Food - Produce","NASDAQ",61
"Nordic Berry Smoothie","Food - Frozen Foods","NASDAQ",43
"Peach Halves (canned)","Food - Canned Goods","NASDAQ",24
"Pet Travel Carrier","Pets","NYSE",18
"Weighted Blanket for Adults","Health","NASDAQ",49
"Dog Waste Bag Dispenser","Pets","NASDAQ",65
"French Bread","Food - Bakery","NYSE",46
"Sustainable Wooden Toys","Toys","NYSE",43
"Maple Pecan Oatmeal Cookies","Food - Bakery","NYSE",49
"Sunglasses","Accessories","NASDAQ",14
"Pasta (Linguine)","Food - Pasta","NASDAQ",41
"Cheddar Cheese Crackers","Food - Snacks","NASDAQ",8
"Wireless Charging Pad","Accessories","NASDAQ",2
"Sous Vide Cooker","Kitchen","NASDAQ",17
"Kale Caesar Salad Kit","Food - Salads","NASDAQ",21
"Oven-Baked Parmesan Zucchini","Food - Frozen Vegetables","NYSE",12
"Sweetened Condensed Milk","Food - Baking Goods","NYSE",83
"Sweet Chili Dipping Sauce","Food - Condiments","NYSE",99
"Vegetarian Sausage Links","Food - Meat Substitutes","NYSE",96
"Craft Beer Mustard","Food - Condiments","NYSE",2
"Cocktail Shaker Set","Kitchen","NASDAQ",24
"Coconut Curry Lentil Soup","Food - Canned Goods","NASDAQ",64
"Samoas Cookie Mix","Food - Baking","NYSE",18
"Multi-Layer Food Steamer","Kitchen","NYSE",5
"Jennifer's Amazing Lip Balm Kit","Beauty","NASDAQ",87
"Rolling Cooler","Outdoor","NYSE",1
"Portable Air Compressor","Automotive","NYSE",87
"Herbal Tea Variety Pack","Food - Beverages","NASDAQ",22
"LED Disco Ball Light","Home","NASDAQ",73
"Chickpea Flour","Food - Baking","NASDAQ",84
"Casual Long Cardigan","Clothing - Outerwear","NASDAQ",17
"Honey Graham Crackers","Food - Snacks","NYSE",60
"Personalized Pet ID Tags","Pets","NASDAQ",25
"Portable Speakers","Audio","NYSE",9
"Crispy Kale Chips","Food - Snacks","NASDAQ",22
"Lightweight Rain Jacket","Clothing - Outerwear","NASDAQ",59
"Cranberry Lime Sparkling Water","Food - Beverages","NYSE",6
"Spicy BBQ Sauce","Food - Condiments","NASDAQ",41
"Compact Electric Kettle","Kitchen","NYSE",44
"Toilet Paper (12 rolls)","Food - Household","NYSE",34
"Sesame Ginger Dressing","Food - Condiments","NASDAQ",95
"Chino Shorts","Clothing - Bottoms","NYSE",32
"Sweet BBQ Dipping Sauce","Food - Condiments","NASDAQ",31
"Travel Pillow","Travel","NASDAQ",18
"Car Seat Organizer","Automotive","NYSE",96
"Chicken Broth","Food - Canned Goods","NYSE",29
"Smartphone Hand Grip","Accessories","NASDAQ",69
"Honey Sesame Chicken","Food - Frozen Food","NASDAQ",31
"Pet Water Bottle","Pets","NYSE",92
"LED Christmas Tree Lights","Home","NYSE",37
"Peach Mango Smoothie Mix","Food - Beverages","NYSE",16
"Dog Training Collar","Pets","NASDAQ",30
"Animal Paw Print Soap Dispenser","Home","NYSE",4
"Balsamic Salad Dressing","Food - Deli","NASDAQ",56
"French Onion Dip","Food - Condiments","NYSE",88
"Organic Italian Seasoning","Food - Spices","NYSE",15
"Energy Bites","Food - Snacks","NASDAQ",87
"High-Low Hem Tee","Clothing - Tops","NYSE",69
"Professional Chef Knife","Kitchen","NASDAQ",57
"Canned Coconut Milk","Food - Canned Goods","NASDAQ",34
"Car Sunshade","Automotive","NYSE",72
"Pest Control Traps","Home","NASDAQ",74
"Hand Crank Blender","Kitchen","NASDAQ",3
"Sliced Avocado","Food - Produce","NYSE",72
"Electronic Drum Kit","Music","NYSE",20
"Multi-Function Meat Tenderizer","Kitchen","NYSE",40
"Dark Chocolate Covered Almonds","Food - Snacks","NASDAQ",63
"Ceramic Bakeware Set","Kitchen","NYSE",54
"Savory Mushroom Risotto","Food - Gourmet Rice","NYSE",62
"Sun-Dried Tomato Pesto","Food - Condiments","NYSE",2
"Ceramic Knife Set","Kitchen","NYSE",91
"Elegant Lace Dress","Clothing - Dresses","NYSE",2
"Outdoor Adventure Kit","Outdoor","NASDAQ",56
"Pet Hair Remover","Pets","NASDAQ",93
"Essential White Button-Up","Clothing - Shirts","NASDAQ",25
"Baby Safety Corner Guards","Baby","NASDAQ",85
"Elderberry Syrup","Food - Supplements","NYSE",93
"Fall-Themed Table Runner","Home","NYSE",51
"Ceramic Cookware Set","Kitchen","NYSE",32
"Avocados","Food - Produce","NYSE",64
"Portable Solar Path Lights","Outdoor","NYSE",88
"Cream Cheese","Food - Dairy","NYSE",89
"Whole Chicken","Food - Meat","NASDAQ",31
"Baked Potato Chips","Food - Snacks","NYSE",63
"Nut Butter Cups","Food - Snacks","NYSE",94
"Hibiscus Tea Bags","Food - Beverages","NASDAQ",35
"Fruit and Nut Energy Bites","Food - Snacks","NASDAQ",71
"Oats","Food - Grains","NYSE",28
"Freestanding Wine Rack","Home","NASDAQ",27
"Collapsible Folding Chair","Outdoor","NYSE",68
"Canvas Wall Art","Home","NASDAQ",55
"Carrot Ginger Soup","Food - Soups","NYSE",21
"Classic White T-Shirt","Clothing - Tops","NASDAQ",56
"Almond Crunch Granola Bars","Food - Snacks","NYSE",97
"Set of Measuring Spoons","Kitchen","NYSE",11
"Cold Brew Coffee Maker","Kitchen","NYSE",52
"Roasted Garlic","Food - Condiments","NASDAQ",7
"Apple Juice","Food - Beverages","NASDAQ",17
"Gaming Mousepad","Gaming","NASDAQ",19
"Electric Toothbrush Holder","Health","NASDAQ",22
"Deluxe First Aid Kit","Health","NASDAQ",83
"Pumpkin Spice Pancake Mix","Food - Breakfast","NYSE",68
"Gardening Fairy Figurines","Garden","NYSE",92
"Reversible Comforter Set","Home","NYSE",63
"Belted Trench Coat","Clothing - Outerwear","NASDAQ",14
"Ripped Boyfriend Jeans","Clothing - Bottoms","NASDAQ",38
"Brownie Bites","Food - Baked Goods","NYSE",3
"Customizable Name Plate","Office","NASDAQ",73
"Athletic Jogging Jacket","Clothing - Outerwear","NASDAQ",53
"Crispy Onion Rings","Food - Frozen Foods","NASDAQ",34
"Wireless Induction Charger","Electronics","NYSE",63
"Honey Roasted Almonds","Food - Snacks","NASDAQ",66
"Savory Oats","Food - Breakfast","NASDAQ",23
"Coconut Curry Sauce","Food - Sauces","NASDAQ",87
"Cauliflower Rice Stir-Fry","Food - Frozen Foods","NYSE",81
"Pumpkin Spice Muffins","Food - Bakery","NASDAQ",62
"Kids' Art Supplies Kit","Toys","NYSE",31
"Cranberry Citrus Sauce","Food - Condiments","NYSE",45
"Decorative Throw Blanket","Home","NASDAQ",31
"Almond Butter Cups","Food - Snacks","NASDAQ",3
"Mini Hand Gesture Drone","Toys","NASDAQ",60
"Adjustable Yoga Mat Strap","Fitness","NASDAQ",57
"Pineapple Teriyaki Chicken Mix","Food - Meat","NYSE",52
"Pasta Salad Kit","Food - Prepared Foods","NASDAQ",60
"Lightweight Travel Backpack","Travel","NASDAQ",31
"Smartphone Tripod with Bluetooth Remote","Photography","NASDAQ",79
"LED Canopy Lights","Outdoor","NYSE",81
"Smartphone Gimbal Stabilizer","Photography","NYSE",17
"Chicken Sausage","Food - Meat","NYSE",58
"Sweet Potatoes (organic)","Food - Vegetables","NASDAQ",1
"Vegetable Chips","Food - Snacks","NYSE",43
"Mini Pretzels","Food - Snacks","NYSE",73
"Folding Table","Outdoor","NASDAQ",96
"Frozen Salmon Filets","Food - Seafood","NASDAQ",32
"Ricotta Cheese","Food - Dairy","NYSE",98
"Personalized Pet ID Tags","Pets","NYSE",6
"Shredded Cheese","Food - Dairy","NASDAQ",71
"Peanut Butter Chocolate Chip Bars","Food - Snacks","NASDAQ",48
"Soft Plush Throw Blanket","Home","NASDAQ",19
"Self-Inflating Camping Mattress","Outdoor","NASDAQ",99
"Dog Training Collar","Pets","NASDAQ",52
"Cranberry Almond Granola","Food - Breakfast","NYSE",99
"Electric Butter Churn","Kitchen","NASDAQ",66
"Car Windshield Sun Shade","Automotive","NASDAQ",27
"Dried Fruit Medley","Food - Snacks","NYSE",71
"Utility Cargo Pants","Clothing - Pants","NASDAQ",86
"Almond Coconut Granola","Food - Breakfast Foods","NASDAQ",40
"Vegetable and Cheese Quesadillas","Food - Frozen","NASDAQ",22
"Italian Breadsticks","Food - Bakery","NASDAQ",8
"Peanut Butter Cookies","Food - Bakery","NYSE",97
"Chickpea Salad Deluxe","Food - Produce","NASDAQ",89
"Coffee Capsule Dispenser","Kitchen","NYSE",71
"Adjustable Kneeling Pad","Garden","NYSE",3
"Chipotle Sauce","Food - Condiments","NASDAQ",8
"Electric Toothbrush Holder","Health","NYSE",5
"Orange Ginger Vinaigrette","Food - Condiments","NASDAQ",80
"A-Line Skirt","Clothing - Bottoms","NYSE",55
"Pumpkin Pie Spice","Food - Baking","NYSE",88
"Cocoa Powder","Food - Baking","NASDAQ",41
"Wall-Mounted Spice Rack","Kitchen","NASDAQ",83
"Cacao Nibs","Food - Baking","NYSE",95
"Almond Flour Pizza Crust","Food - Frozen Foods","NYSE",68
"Crispy Onion Rings","Food - Frozen Foods","NASDAQ",94
"Caraway Rye Bread","Food - Bakery","NASDAQ",73
"Reusable Food Storage Bags","Kitchen","NASDAQ",58
"Wireless Charging Station","Electronics","NASDAQ",74
"Sparkling Blood Orange Soda","Food - Beverages","NYSE",18
"Almond Milk Yogurt","Food - Dairy Alternatives","NASDAQ",76
"Pepper Jack Cheese Slices","Food - Dairy","NYSE",31
"Outdoor Camping Hammock","Outdoor","NASDAQ",72
"Cheese Stuffed Jalapenos","Food - Snacks","NASDAQ",85
"Organic Almonds","Food - Nuts","NYSE",99
"Folding Exercise Bike","Fitness","NYSE",11
"Foam Roller for Muscle Recovery","Fitness","NASDAQ",26
"Lentils","Food - Grains","NASDAQ",76
"Adjustable Pedicure Footrest","Beauty","NASDAQ",17
"Vegan Protein Powder","Health","NYSE",97
"Graphic Sweatshirt","Clothing - Tops","NASDAQ",22
"Vegan chocolate chip cookies","Food - Bakery","NASDAQ",12
"Caraway Rye Bread","Food - Bakery","NASDAQ",33
"Couscous","Food - Grains","NASDAQ",96
"Teriyaki Beef Jerky","Food - Snacks","NYSE",72
"Wireless Range Extender","Electronics","NYSE",18
"Raspberry Tart","Food - Baked Goods","NYSE",5
"Italian Pasta","Food - Grains","NYSE",55
"Trail Mix (Deluxe)","Food - Snacks","NYSE",86
"DIY Candle Making Kit","Crafts","NYSE",5
"Ricotta Cheese","Food - Dairy","NASDAQ",12
"Vegetable Quinoa Bowl","Food - Frozen Meals","NYSE",18
"Electric Egg Cooker","Kitchen","NASDAQ",98
"Pressure Washer Accessories Kit","Home Improvement","NYSE",29
"Thai Green Curry Paste","Food - Sauces","NYSE",82
"Board Game","Toys","NYSE",26
"Photo Album","Home","NASDAQ",89
"LED Table Lamp","Home","NASDAQ",5
"High-Speed Blender","Kitchen","NYSE",57
"Inflatable Paddle Board","Outdoor","NASDAQ",86
"Garden Hose Reel","Garden","NYSE",53
"Digital Bullet Journal","Apps","NASDAQ",35
"Smoky BBQ Jackfruit","Food - Grocery","NASDAQ",100
"Sriracha Chili Sauce","Food - Condiments","NYSE",29
"Electric Opener for Jars and Bottles","Kitchen","NASDAQ",3
"Cocktail Shaker Set","Kitchen","NASDAQ",93
"Sliced Strawberries","Food - Fruits","NASDAQ",86
"Pineapple Chunks (canned)","Food - Fruits","NASDAQ",11
"Siphon Coffee Maker","Kitchen","NASDAQ",95
"Honey Butter Popcorn","Food - Snacks","NASDAQ",33
"Scented Candles","Home","NYSE",40
"Feta Cheese Crumbles","Food - Dairy","NASDAQ",33
"Crispy Kale Chips","Food - Snacks","NYSE",68
"Travel Jewelry Case","Accessories","NYSE",30
"Digital Food Scale","Kitchen","NYSE",91
"Cocktail Shaker and Mixing Glass Set","Kitchen","NYSE",21
"Pet Reflective Vest","Pets","NASDAQ",81
"Fitness Jump Rope with LCD Counter","Fitness","NYSE",10
"Smartphone Camera Lens Kit","Photography","NASDAQ",23
"Wireless Smart Plug","Smart Home","NYSE",68
"Self-Massaging Pillow","Health","NYSE",60
"Travel Sewing Kit","Travel","NASDAQ",28
"Cotton Quilted Throw Blanket","Home","NASDAQ",67
"Adjustable Laptop Stand","Office","NYSE",76
"Savory Trail Mix","Food - Snacks","NASDAQ",33
"Cheesy Broccoli Soup Mix","Food - Soups","NYSE",78
"Maple Breakfast Sausage","Food - Meat","NASDAQ",61
"Bamboo Cutting Board Set","Kitchen","NASDAQ",78
"Poppy Seed Dressing","Food - Condiments","NYSE",93
"Savory Oatmeal Cups","Food - Breakfast","NYSE",12
"Frozen Broccoli","Food - Frozen","NYSE",70
"Chicken Broth","Food - Canned Goods","NASDAQ",68
"Fleece Throw Blanket","Home","NASDAQ",8
"Plaid Flannel Shirt","Clothing - Tops","NASDAQ",5
"Nature Explorer Lens Kit","Toys","NYSE",12
"Elegant Maxi Skirt","Clothing - Bottoms","NYSE",64
"Lemon Herb Grilled Chicken","Food - Meat","NASDAQ",65
"Chocolate Mint Thins","Food - Snacks","NYSE",20
"Peanut Butter Chocolate Chip Bars","Food - Snacks","NYSE",79
"Apple Sauce","Food - Canned Goods","NYSE",55
"Baby Safety Corner Guards","Baby","NYSE",62
"Adjustable Yoga Mat Strap","Fitness","NYSE",94
"Vegan Taco Seasoning","Food - Spices","NASDAQ",38
"Digital Photo Frame","Home","NYSE",49
"Spinach Feta Wraps","Food - Deli","NYSE",43
"Manual Coffee Grinder","Kitchen","NYSE",33
"Bamboo Toothbrush","Health","NASDAQ",85
"Travel Sewing Kit","Travel","NASDAQ",75
"Classic Slim Fit Shirt","Clothing - Shirts","NASDAQ",2
"Kids' Science Experiment Kit","Toys","NYSE",80
"Almond Butter Cups","Food - Snacks","NYSE",51
"Pasta (Linguine)","Food - Pasta","NASDAQ",83
"Yoga Wheel","Fitness","NASDAQ",36
"Sweetened Condensed Milk","Food - Baking Goods","NASDAQ",82
"Durable Hiking Boots","Footwear","NYSE",83
"Bluetooth Shower Speaker","Audio","NASDAQ",26
"Turmeric Ginger Tea","Food - Beverages","NASDAQ",73
"Portable Speakers","Audio","NYSE",90
"Vegetable Fried Rice","Food - Frozen Foods","NASDAQ",45
"Water-Resistant Bluetooth Speaker","Audio","NYSE",77
"Nutty Granola Clusters","Food - Cereal","NYSE",54
"Yoga Strap","Fitness","NASDAQ",34
"Car Seat Organizer","Automotive","NASDAQ",78
"Fitness Tracker","Fitness","NYSE",26
"Video Camera","Electronics","NASDAQ",16
"Animal Paw Print Soap Dispenser","Home","NASDAQ",54
"Herbed Couscous","Food - Grains","NYSE",85
"Smartphone Car Mount with Wireless Charging","Automotive","NYSE",81
"Ginger Turmeric Shots","Food - Beverages","NASDAQ",10
"Pasta (Fusilli)","Food - Pasta","NASDAQ",17
"Savory Trail Mix","Food - Snacks","NASDAQ",53
"Sushi Rice","Food - Grains","NASDAQ",47
"Camping Chair with Cooler","Outdoor","NASDAQ",74
"Vegetable Broth","Food - Canned Goods","NYSE",37
"Portable Charger with Solar Panel","Electronics","NASDAQ",18
"Carrot Ginger Soup","Food - Soups","NYSE",58
"Baby Safety Corner Guards","Baby","NYSE",26
"Dog Training Clicker","Pets","NYSE",45
"Organic Honeycrisp Apples","Food - Fruits","NASDAQ",37
"Stylish Combat Boots","Clothing - Shoes","NYSE",81
"Cinnamon Sugar Mix","Food - Baking","NASDAQ",27
"Garden Tool Belt","Garden","NYSE",19
"Smartphone Photography Ring Light","Photography","NYSE",67
"Dog Car Seat Cover","Pets","NYSE",44
"Skincare Set","Beauty","NASDAQ",91
"Smartphone Tripod with Remote","Photography","NYSE",30
"Car Phone Mount","Automotive","NYSE",60
"Pear and Gorgonzola Salad","Food - Salads","NYSE",56
"Stuffed Grape Leaves","Food - Prepared Foods","NASDAQ",67
"Potting Soil","Garden","NASDAQ",98
"Personal Blender","Kitchen","NASDAQ",95
"Sporty Cap","Clothing - Accessories","NYSE",19
"Classic Baseball Cap","Clothing - Accessories","NYSE",54
"Buttermilk Pancakes","Food - Breakfast","NYSE",73
"Savory Rice Cakes","Food - Snacks","NASDAQ",51
"Basil Lemonade","Food - Beverages","NASDAQ",61
"Bamboo Bathtub Caddy","Home","NASDAQ",31
"Truffle Parmesan Fries","Food - Snacks","NASDAQ",57
"Organic Whole Grain Oats","Food - Breakfast","NYSE",69
"Strawberry Banana Smoothie Pack","Food - Frozen","NASDAQ",95
"Non-Slip Yoga Socks","Fitness","NYSE",1
"Window Blinds","Home","NASDAQ",74
"Quinoa Salad","Food - Prepared Foods","NASDAQ",30
"Portable Camping Shower","Outdoor","NYSE",83
"Mini Cordless Vacuum Cleaner","Home Appliances","NASDAQ",21
"Coconut Milk","Food - Canned Goods","NYSE",6
"Comfortable Jogger Pants","Clothing - Bottoms","NYSE",85
"Smart Water Bottle with Hydration Reminder","Fitness","NYSE",49
"Voice-Controlled Speaker","Audio","NASDAQ",89
"Mini Projector for Smartphones","Electronics","NASDAQ",88
"Animal Paw Print Soap Dispenser","Home","NYSE",52
"Non-Stick Baking Sheets","Kitchen","NYSE",54
"Desk Lamp with USB Port","Office","NYSE",72
"Non-Stick Grill Mat","Outdoor","NASDAQ",84
"Digital Voice Recorder","Electronics","NASDAQ",54
"Raspberry Lemonade Mix","Food - Beverages","NYSE",80
"Self-Cleaning Water Bottle","Fitness","NASDAQ",33
"Organic Green Apples","Food - Produce","NASDAQ",2
"Mediterranean Flatbread","Food - Bakery","NYSE",82
"High-Speed HDMI Cable","Electronics","NYSE",98
"Under Desk Footrest","Office","NASDAQ",36
"Chicken Breasts","Food - Meat","NYSE",22
"Peach Preserves","Food - Condiments","NYSE",88
"Herbal Tea Infuser","Kitchen","NYSE",32
"Screen Cleaning Kit","Electronics","NASDAQ",56
"Smartphone Holder for Car","Automotive","NYSE",40
"Cotton Tote Bag Set","Accessories","NASDAQ",89
"Car Vacuum Cleaner","Automotive","NYSE",39
"Caramelized Onion Dip","Food - Dairy","NASDAQ",30
"Pet Hair Remover","Pets","NASDAQ",51
"Portable Solar Charger","Electronics","NYSE",87
"Salsa Verde","Food - Condiments","NYSE",78
"Samoas Cookie Mix","Food - Baking","NYSE",58
"Aged White Cheddar Popcorn","Food - Snacks","NASDAQ",20
"Beef Enchilada Casserole","Food - Prepared Meals","NASDAQ",54
"Non-Slip Yoga Socks","Fitness","NYSE",73
"Cordless Water Flosser","Health","NASDAQ",100
"Chopping Board","Kitchen","NASDAQ",4
"Kids Tablet","Electronics","NASDAQ",9
"Linen Trousers","Clothing - Bottoms","NASDAQ",94
"Bodyweight Resistance Bands","Fitness","NASDAQ",46
"Pasta Maker","Kitchen","NASDAQ",35
"Computer Monitor Stand","Office","NASDAQ",21
"Two-Tone Windbreaker","Clothing - Outerwear","NASDAQ",67
"Portable Leaf Blower","Outdoor","NASDAQ",60
"Car Escape Tool","Automotive","NYSE",45
"Almond Quinoa Salad","Food - Salads","NYSE",44
"Microwave Popcorn Maker","Kitchen","NYSE",46
"Classic Pumps","Clothing - Footwear","NASDAQ",36
"Compact Umbrella","Accessories","NASDAQ",72
"Noise Reduction Headphones","Audio","NASDAQ",38
"Travel Mug with Leak-Proof Lid","Kitchen","NASDAQ",81
"Garlic Breadsticks","Food - Sides","NYSE",94
"Soft Plush Throw Blanket","Home","NASDAQ",76
"Personal Safety Alarm","Safety","NASDAQ",63
"Pine Nuts","Food - Nuts","NASDAQ",93
"Wireless Earbuds","Audio","NYSE",27
"Portable Bluetooth Headphones","Audio","NASDAQ",79
"Rice Pilaf Mix","Food - Grains","NASDAQ",25
"Adjustable Laptop Stand","Office","NASDAQ",56
"Chic Ankle Strap Heels","Clothing - Shoes","NASDAQ",66
"Pork Chops","Food - Meat","NASDAQ",78
"Blue Denim Jeans","Clothing - Bottoms","NYSE",84
"Vanilla Pudding Mix","Food - Baking","NASDAQ",39
"Craft Beer Mustard","Food - Condiments","NYSE",73
"Beef Stroganoff Meal Kit","Food - Frozen Meals","NYSE",79
"Magnetic Puzzle Board","Toys","NYSE",22
"Organic Cereal Bars","Food - Snacks","NYSE",3
"Portable Air Purifier","Health","NYSE",62
"Travel Pillow with Memory Foam","Travel","NYSE",84
"Wall-Mounted Spice Rack","Kitchen","NASDAQ",4
"Deluxe First Aid Kit","Health","NASDAQ",50
"Apple Cinnamon Oatmeal","Food - Breakfast","NASDAQ",99
"Lentil Soup (canned)","Food - Canned Goods","NYSE",98
"Ripped Boyfriend Jeans","Clothing - Bottoms","NASDAQ",32
"Garlic Herb Seasoning","Food - Spices","NASDAQ",49
"Wireless Mouse","Electronics","NASDAQ",92
"Herb-Infused Olive Oil","Food - Oils","NASDAQ",51
"Digital Photo Frame","Home","NYSE",100
"Electric Heat Press Machine","Crafts","NYSE",59
"Luminous Night Light","Home","NASDAQ",99
"Essential White Button-Up","Clothing - Shirts","NYSE",81
"Freestanding Wine Rack","Home","NASDAQ",5
"Travel Hair Straightener","Beauty","NYSE",94
"Chocolate Avocado Pudding","Food - Desserts","NYSE",98
"Honey Lemon Tea","Food - Beverages","NASDAQ",53
"Olive Oil","Food - Condiments","NYSE",29
"Indestructible Dog Toy","Pets","NASDAQ",38
"Cotton Pajama Set","Clothing - Loungewear","NASDAQ",11
"Gardening Fairy Figurines","Garden","NASDAQ",94
"Ginger Tea","Food - Beverages","NASDAQ",58
"Stainless Steel Water Pitcher","Kitchen","NASDAQ",90
"Casual Sneakers","Clothing - Footwear","NASDAQ",61
"Tortilla Chips","Food - Snacks","NASDAQ",44
"Sun-Dried Tomatoes","Food - Vegetables","NASDAQ",17
"Microfiber Cleaning Cloths","Home","NASDAQ",30
"Creamy Spinach Dip","Food - Prepared Foods","NASDAQ",4
"Peanut Butter Protein Balls","Food - Snacks","NYSE",15
"Magnetic Chess Set","Toys","NYSE",84
"Protein Powder","Fitness","NYSE",25
"Printed Maxi Skirt","Clothing - Skirts","NASDAQ",67
"Aeropress Coffee Maker","Kitchen","NYSE",36
"Travel Makeup Organizer","Beauty","NYSE",35
"Ergonomic Mouse Pad with Wrist Support","Office","NYSE",71
"Automatic Pet Feeder","Pets","NASDAQ",6
"Vegetarian Pizza","Food - Frozen Foods","NASDAQ",80
"Frozen Cauliflower Rice","Food - Frozen Foods","NYSE",68

994 lignes sélectionnées. 

